Username,Make & Model,Battery Capacity (kWh),Claimed Range (km),Driving Style,Terrain,Speed Mode,Tyre Pressure,Actual Range (km),Season,Load,Battery SOC (%)
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,14.432040000000004,Summer,Light,5
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,28.86408000000001,Summer,Light,10
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,43.29612000000001,Summer,Light,15
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,57.72816000000002,Summer,Light,20
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,72.16020000000002,Summer,Light,25
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,86.59224000000002,Summer,Light,30
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,101.02428000000002,Summer,Light,35
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,115.45632000000003,Summer,Light,40
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,129.88836000000003,Summer,Light,45
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,144.32040000000003,Summer,Light,50
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,158.75244000000006,Summer,Light,55
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,173.18448000000004,Summer,Light,60
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,187.61652000000007,Summer,Light,65
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,202.04856000000004,Summer,Light,70
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,216.48060000000004,Summer,Light,75
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,230.91264000000007,Summer,Light,80
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,245.34468000000004,Summer,Light,85
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,259.77672000000007,Summer,Light,90
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,274.20876000000004,Summer,Light,95
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,288.64080000000007,Summer,Light,100
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,13.710438,Summer,Moderate,5
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,27.420876,Summer,Moderate,10
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,41.131313999999996,Summer,Moderate,15
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,54.841752,Summer,Moderate,20
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,68.55219,Summer,Moderate,25
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,82.26262799999999,Summer,Moderate,30
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,95.97306599999999,Summer,Moderate,35
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,109.683504,Summer,Moderate,40
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,123.393942,Summer,Moderate,45
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,137.10438,Summer,Moderate,50
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,150.814818,Summer,Moderate,55
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,164.52525599999998,Summer,Moderate,60
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,178.235694,Summer,Moderate,65
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,191.94613199999998,Summer,Moderate,70
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,205.65657,Summer,Moderate,75
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,219.367008,Summer,Moderate,80
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,233.07744599999998,Summer,Moderate,85
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,246.787884,Summer,Moderate,90
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,260.498322,Summer,Moderate,95
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,274.20876,Summer,Moderate,100
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,12.988836000000004,Summer,Heavy,5
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,25.97767200000001,Summer,Heavy,10
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,38.96650800000001,Summer,Heavy,15
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,51.95534400000002,Summer,Heavy,20
user1,BYD E6,71.7,415,Aggressive,Flat,Sport,Normal,64.94418000000002,Summer,Heavy,25
